model,map50-95,map50,map75
best_yolov8x.pt,0.7308165034304994,0.9331712295996237,0.8411798881140897
best_yolov8x-worldv2.pt,0.7197088740959338,0.9434906654091163,0.8310055686959074
last_yolov8l.pt,0.7195431142144845,0.9295703407130804,0.8273935803008052
best_yolov8l-worldv2.pt,0.696051468960993,0.9244061937352228,0.8008090890436441
best_yolov8m-worldv2.pt,0.6863359113955438,0.9200541518248352,0.8033121556990421
best_yolov8m.pt,0.6842322465337507,0.9172703469655339,0.7904270029495222
best_yolov8s.pt,0.6021177917648262,0.8656068733994814,0.6774625730189167
