model,map50-95,map50,map75,speed(ms) per image
yolov8l-worldv2.pt,0.214342090283329,0.38375683665972543,0.20574262627711848,18.76298076541241
yolov8x-worldv2.pt,0.21337227639809628,0.3801521353835138,0.2112490763238286,18.495148515956284
yolov8m-worldv2.pt,0.2061881251001446,0.36160977847070425,0.2051657688668611,15.764942568678695
yolov8x.pt,0.19681919495522485,0.35172321205101037,0.1922613188330504,12.737864054035589
yolov8l.pt,0.19665031467718294,0.3523059167583149,0.1931265261632874,12.700794639859396
yolov8m.pt,0.18625537583364968,0.33744729021270753,0.1852328104887543,11.510744664333297
yolov8s.pt,0.1696916302033835,0.3095021398630489,0.16110685496816787,10.113910770246264
